s=0.4, g=6.0, mem=2.62GB, time=2.4s
s=0.4, g=7.0, mem=2.62GB, time=2.0s
s=0.4, g=8.0, mem=2.62GB, time=2.1s
s=0.4, g=9.0, mem=2.62GB, time=2.1s
s=0.5, g=6.0, mem=2.62GB, time=2.4s
s=0.5, g=7.0, mem=2.62GB, time=2.4s
s=0.5, g=8.0, mem=2.62GB, time=2.4s
s=0.5, g=9.0, mem=2.62GB, time=2.4s
s=0.6, g=6.0, mem=2.62GB, time=2.9s
s=0.6, g=7.0, mem=2.62GB, time=2.9s
s=0.6, g=8.0, mem=2.62GB, time=2.9s
s=0.6, g=9.0, mem=2.62GB, time=2.9s
s=0.7, g=6.0, mem=2.62GB, time=3.2s
s=0.7, g=7.0, mem=2.62GB, time=3.2s
s=0.7, g=8.0, mem=2.62GB, time=3.2s
s=0.7, g=9.0, mem=2.62GB, time=3.3s
s=0.8, g=6.0, mem=2.62GB, time=3.7s
s=0.8, g=7.0, mem=2.62GB, time=3.8s
s=0.8, g=8.0, mem=2.62GB, time=3.8s
s=0.8, g=9.0, mem=2.62GB, time=3.8s
